業種,choooodoii_n,choooodoii_シンプル%,choooodoii_上品%,choooodoii_にぎやか%,choooodoii_かっこいい%,choooodoii_ポップ%,choooodoii_高級リッチ%,choooodoii_かわいい%,81web_n,81web_黒率%,81web_カラフル率%,81web_白率%,81web_動きtag保有率%,81web_キャンペーン特設型%,81web_代表タグ
不動産・建築・空間・施設,162,38.9,17.3,13.6,24.1,16,4.9,9.9,381,13.9,6.6,54.3,42.0,3.1,"イメージ(109), スクロールアニメーション(65), シンプル(59), イラスト(56), グリッド(52), Movie(51)"
ウェディング,26,23.1,76.9,0,7.7,0,46.2,15.4,29,31.0,3.4,55.2,31.0,10.3,"イメージ(13), 縦書き(8), 和風(7), Serif体(5), シンプル(4), スクロールアニメーション(3)"
暮らし商品・サービス,155,43.2,25.2,12.9,7.1,20.6,7.1,15.5,287,13.9,4.9,60.3,38.0,7.0,"イメージ(100), シンプル(64), スクロールアニメーション(51), グリッド(46), ホワイトスペース(37), Movie(28)"
アート,42,28.6,33.3,11.9,28.6,14.3,11.9,11.9,340,26.5,8.8,51.5,40.9,8.5,"イメージ(75), シンプル(68), ポートフォリオ(62), グリッド(52), フォトグラファー(47), スクロールアニメーション(47)"
美容,121,32.2,49.6,2.5,13.2,1.7,8.3,24,267,18.4,7.1,44.9,39.0,6.4,"イメージ(94), スクロールアニメーション(51), 美容室(51), グリッド(35), シンプル(33), ホワイトスペース(24)"
IT・システム,142,39.4,5.6,14.8,30.3,16.9,0,6.3,97,12.4,14.4,47.4,53.6,4.1,"イラスト(32), アニメーション(22), シンプル(20), スクロールアニメーション(15), イメージ(15), Google Fonts(11)"
