group,n,曲線的,シンプル,上品,にぎやか,さわやか,高級・リッチ・ゴージャス,かわいい,かっこいい,清潔感,スタイリッシュ,ポップ,やさしい・ナチュラル,堅実・誠実・信頼感
コーポレートサイト,721,0.1,40.1,20.7,9.2,13.3,5.5,7.4,22.6,21.5,43.3,16,20.1,38.8
EC・WEBサービス,205,0,44.4,41,8.8,10.7,13.7,16.1,13.7,14.1,36.1,16.6,37.6,13.2
特設・キャンペーンサイト,269,0,27.1,17.8,28.6,14.1,4.1,30.1,24.2,8.9,25.7,37.5,19.7,14.5
サービス紹介,390,0.3,35.1,22.8,13.6,20.3,7.2,14.9,13.8,21,31,21.5,33.1,26.2
採用サイト,90,1.1,28.9,10,30,23.3,2.2,8.9,32.2,18.9,31.1,21.1,16.7,48.9
商品・製品紹介,564,0.5,33.9,36,14,14,10.8,22,12.1,19,26.1,19.7,34,12.9
店舗・施設紹介,535,0.7,32.5,35.5,18.5,14,13.5,21.5,8.6,17.2,19.3,19.8,35.3,17.9
メディア・ポータル,100,0,45,15,22,15,0,23,12,16,34,29,28,14
ポートフォリオ,27,0,66.7,18.5,7.4,3.7,3.7,3.7,14.8,7.4,63,7.4,25.9,29.6
